# _tick,_time,plr_track_level,track_level,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,agent_plr_passable_mass,agent_plr_max_score,agent_plr_weighted_num_edits,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_action_complexity,adversary_action_complexity,solved_rate:Cantilever-Adversarial-Mode1-v0,test_returns:Cantilever-Adversarial-Mode1-v0,reward_metric:Cantilever-Adversarial-Mode1-v0,node_Id:Cantilever-Adversarial-Mode1-v0,solved_rate:Cantilever-Adversarial-Mode2-v0,test_returns:Cantilever-Adversarial-Mode2-v0,reward_metric:Cantilever-Adversarial-Mode2-v0,node_Id:Cantilever-Adversarial-Mode2-v0,solved_rate:Cantilever-Adversarial-Mode3-v0,test_returns:Cantilever-Adversarial-Mode3-v0,reward_metric:Cantilever-Adversarial-Mode3-v0,node_Id:Cantilever-Adversarial-Mode3-v0,solved_rate:Cantilever-Adversarial-Mode4-v0,test_returns:Cantilever-Adversarial-Mode4-v0,reward_metric:Cantilever-Adversarial-Mode4-v0,node_Id:Cantilever-Adversarial-Mode4-v0,solved_rate:Cantilever-Adversarial-Mode5-v0,test_returns:Cantilever-Adversarial-Mode5-v0,reward_metric:Cantilever-Adversarial-Mode5-v0,node_Id:Cantilever-Adversarial-Mode5-v0,solved_rate:Cantilever-Adversarial-Mode12-v0,test_returns:Cantilever-Adversarial-Mode12-v0,reward_metric:Cantilever-Adversarial-Mode12-v0,node_Id:Cantilever-Adversarial-Mode12-v0,solved_rate:Cantilever-Adversarial-Mode23-v0,test_returns:Cantilever-Adversarial-Mode23-v0,reward_metric:Cantilever-Adversarial-Mode23-v0,node_Id:Cantilever-Adversarial-Mode23-v0,solved_rate:Cantilever-Adversarial-Mode34-v0,test_returns:Cantilever-Adversarial-Mode34-v0,reward_metric:Cantilever-Adversarial-Mode34-v0,node_Id:Cantilever-Adversarial-Mode34-v0,solved_rate:Cantilever-Adversarial-Mode45-v0,test_returns:Cantilever-Adversarial-Mode45-v0,reward_metric:Cantilever-Adversarial-Mode45-v0,node_Id:Cantilever-Adversarial-Mode45-v0,solved_rate:Cantilever-Adversarial-Mode123-v0,test_returns:Cantilever-Adversarial-Mode123-v0,reward_metric:Cantilever-Adversarial-Mode123-v0,node_Id:Cantilever-Adversarial-Mode123-v0,solved_rate:Cantilever-Adversarial-Mode234-v0,test_returns:Cantilever-Adversarial-Mode234-v0,reward_metric:Cantilever-Adversarial-Mode234-v0,node_Id:Cantilever-Adversarial-Mode234-v0,solved_rate:Cantilever-Adversarial-Mode345-v0,test_returns:Cantilever-Adversarial-Mode345-v0,reward_metric:Cantilever-Adversarial-Mode345-v0,node_Id:Cantilever-Adversarial-Mode345-v0,solved_rate:Cantilever-Adversarial-Mode1234-v0,test_returns:Cantilever-Adversarial-Mode1234-v0,reward_metric:Cantilever-Adversarial-Mode1234-v0,node_Id:Cantilever-Adversarial-Mode1234-v0,solved_rate:Cantilever-Adversarial-Mode2345-v0,test_returns:Cantilever-Adversarial-Mode2345-v0,reward_metric:Cantilever-Adversarial-Mode2345-v0,node_Id:Cantilever-Adversarial-Mode2345-v0,solved_rate:Cantilever-Adversarial-Mode12345-v0,test_returns:Cantilever-Adversarial-Mode12345-v0,reward_metric:Cantilever-Adversarial-Mode12345-v0,node_Id:Cantilever-Adversarial-Mode12345-v0,sps
10,1754483377.9288158,4.0,,0.0,0.0,0.0,0.0,1.0,13.74572217464447,0.0,348160,1360,272,34,0.6063517874748088,0.005068980064243079,-3.54275107383728e-05,2.99561185836792,0,0.0,0.0,0.0,,,67.1875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.74379767964206
11,1754483433.9317636,3.5,,0.0,0.0,0.0,0.0,0.9999999999999997,23.21624606847763,0.0,380928,1488,304,37,0.5501637953648697,0.00684241084381938,-4.8874132335186e-05,2.995514392852783,0,0.0,0.0,0.0,,,67.20833333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.69151619323804
12,1754483489.2549484,,5.8125,0.0,0.0,0.0,0.0,0.9999999999999998,30.18692135810852,0.0,413696,1616,336,40,0.2313156119778433,0.004006027150899172,-8.05594027042389e-09,2.995336961746216,0,0.0,0.0,0.0,,,67.20833333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.17896730555384
13,1754483558.1054313,6.5,,0.0,0.0,0.0,0.0,0.9999999999999998,43.56088638305664,0.0,454656,1776,336,45,0.5186958656236472,0.01037700790911913,-8.092557545751334e-05,2.995095682144165,0,0.0,0.0,0.0,,,66.875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.45873162423203
14,1754483617.7707005,3.0,,0.0,0.0,0.0,0.0,1.0,22.50630557537079,0.0,491520,1920,352,49,0.27982553690527745,0.006447825487703085,-5.670981481671333e-05,2.9946983814239503,0,0.0,0.0,0.0,,,66.77083333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.2814147403512
15,1754483672.8887737,6.75,,0.0,0.0,0.0,0.0,0.9999999999999997,22.776538133621216,0.0,524288,2048,384,52,0.6285206986079206,0.007988909631967545,-0.00012597942259162664,2.993876266479492,0,0.0,0.0,0.0,,,66.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.4958005592296
16,1754483728.686489,4.5,,0.0,0.0,0.0,0.0,1.0,15.030163526535034,0.0,557056,2176,416,55,0.4921573543456728,0.004621885251253843,-0.000343676283955574,2.991796636581421,0,0.0,0.0,0.0,,,67.27083333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.09688138759424
17,1754483797.630947,4.0,,0.0,0.0,0.0,0.0,0.9999999999999999,34.91606414318085,0.0,598016,2336,416,60,0.7754108270123804,0.013526572473347187,-0.00041263531893491744,2.9803305149078367,0,0.0,0.0,0.0,,,66.35416666666667,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.0172834067159
18,1754483852.5256093,,5.25,0.0,0.0,0.0,0.0,1.0,53.96267771720886,0.0,630784,2464,448,63,1.5748300903745835,0.03142115995287895,2.9196962714195253e-08,2.933719110488892,0,0.0,0.0,0.0,,,65.97916666666667,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.1834845178048
19,1754483920.4503129,4.0,,0.0,0.0,0.0,0.0,1.0,114.03815746307373,0.0,671744,2624,448,68,2.783438048479242,0.09695704281330109,-0.0020856907009147107,2.8602825164794923,0,0.0,0.0,0.0,,,65.33333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.4917032191986
20,1754483983.2611415,5.5,,0.0,0.0,0.0,0.0,1.0,85.80069541931152,0.0,708608,2768,464,72,4.053088152146361,0.19494526088237762,-0.0018883535172790288,2.7973278999328612,0,0.0,0.0,0.0,,,64.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.0969230943312
21,1754484044.1452334,5.25,,0.0,0.0,0.0,0.0,1.0,142.36016273498535,0.0,745472,2912,480,76,5.817181850859777,0.322399890422821,-0.0008910168893635273,2.7329851627349853,0,0.0,0.0,0.0,,,63.5625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.37230877577883
22,1754484112.1177456,7.0,,0.0,0.0,0.0,0.0,1.0,139.31759595870972,0.0,786432,3072,480,81,7.0416018661546955,0.345066225528717,-0.0006618195213377476,2.6916110515594482,0,0.0,0.0,0.0,,,62.854166666666664,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.25553377400564
23,1754484174.9753685,4.25,,0.0,0.0,0.0,0.0,0.9999999999999999,64.0321135520935,0.0,823296,3216,496,85,5.082838134865888,0.30855684280395507,-0.00048421164974570273,2.6687203884124755,0,0.0,0.0,0.0,,,63.541666666666664,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.8567019313848
24,1754484242.4569297,4.5,,0.0,0.0,0.0,0.0,1.0,95.6987738609314,0.0,864256,3376,496,90,6.918474741417154,0.35140676498413087,-0.0004810974467545748,2.642250156402588,0,0.0,0.0,0.0,,,62.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.4974931070016
25,1754484312.069441,1.75,,0.0,0.0,0.0,0.0,1.0,74.05067682266235,0.0,905216,3536,496,95,5.299873671520389,0.2915583193302155,-0.00028854794800281525,2.633739709854126,0,0.0,0.0,0.0,,,62.083333333333336,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.20141959482476
26,1754484367.2930548,,6.0,0.0,0.0,0.0,0.0,1.0,93.77160668373108,0.0,937984,3664,528,98,5.665601807996758,0.1973087340593338,-4.1443854570388796e-09,2.6070528984069825,0,0.0,0.0,0.0,,,62.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.8607608904979
27,1754484434.739333,3.0,,0.0,0.0,0.0,0.0,1.0,89.6003246307373,0.0,978944,3824,528,103,6.569726330556118,0.2569348871707916,-0.00029213521629571914,2.5545777320861816,0,0.0,0.0,0.0,,,61.791666666666664,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.6816265173679
