Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	1.7377e-003
6	1.0049e-002
7	2.4791e-002
8	4.5458e-002
9	7.1391e-002
10	0.10189
11	0.13623
12	0.1737
13	0.21357
14	0.25516
15	0.29777
16	0.34075
17	0.38345
18	0.42527
19	0.46563
20	0.50397
21	0.5398
22	0.57263
23	0.60205
24	0.62766
25	0.64912
26	0.66614
27	0.67847
28	0.68592
29	0.68835
30	0.68566
31	0.6778
32	0.66479
33	0.64668
34	0.62358
35	0.59565
36	0.56308
37	0.52612
38	0.48507
39	0.44024
40	0.39199
41	0.34072
42	0.28685
43	0.23084
44	0.17314
45	0.11424
46	5.4654e-002
47	-5.1262e-003
48	-6.4584e-002
49	-0.12321
50	-0.18049
51	-0.23594
52	-0.28906
53	-0.3394
54	-0.3865
55	-0.42995
56	-0.46935
57	-0.50434
58	-0.53459
59	-0.55981
60	-0.57976
61	-0.59422
62	-0.60303
63	-0.60605
64	-0.60322
65	-0.5945
66	-0.57989
67	-0.55944
68	-0.53326
69	-0.50148
70	-0.46426
71	-0.42183
72	-0.37442
73	-0.32231
74	-0.26581
75	-0.20523
76	-0.14092
77	-7.3237e-002
78	-2.5533e-003
79	7.0763e-002
80	0.14634
81	0.22382
82	0.30283
83	0.38306
84	0.4642
85	0.54595
86	0.62809
87	0.71043
88	0.7928
89	0.
90	0.87516
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	1.7377e-003
99	1.0049e-002
100	2.4791e-002
101	4.5458e-002
102	7.1391e-002
103	0.10189
104	0.13623
105	0.1737
106	0.21357
107	0.25516
108	0.29777
109	0.34075
110	0.38345
111	0.42527
112	0.46563
113	0.50397
114	0.5398
115	0.57263
116	0.60205
117	0.62766
118	0.64912
119	0.66614
120	0.67847
121	0.68592
122	0.68835
123	0.68566
124	0.6778
125	0.66479
126	0.64668
127	0.62358
128	0.59565
129	0.56308
130	0.52612
131	0.48507
132	0.44024
133	0.39199
134	0.34072
135	0.28685
136	0.23084
137	0.17314
138	0.11424
139	5.4654e-002
140	-5.1262e-003
141	-6.4584e-002
142	-0.12321
143	-0.18049
144	-0.23594
145	-0.28906
146	-0.3394
147	-0.3865
148	-0.42995
