Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	-2.297e-004
6	-1.589e-003
7	-4.154e-003
8	-7.907e-003
9	-1.2792e-002
10	-1.8739e-002
11	-2.5672e-002
12	-3.351e-002
13	-4.2173e-002
14	-5.1579e-002
15	-6.1647e-002
16	-7.2297e-002
17	-8.345e-002
18	-9.5026e-002
19	-0.10695
20	-0.11915
21	-0.13154
22	-0.14405
23	-0.15662
24	-0.16917
25	-0.18164
26	-0.19395
27	-0.20605
28	-0.21786
29	-0.22934
30	-0.24042
31	-0.25104
32	-0.26115
33	-0.27071
34	-0.27965
35	-0.28794
36	-0.29552
37	-0.30237
38	-0.30844
39	-0.31369
40	-0.3181
41	-0.32163
42	-0.32426
43	-0.32597
44	-0.32673
45	-0.32652
46	-0.32534
47	-0.32317
48	-0.32001
49	-0.31585
50	-0.31068
51	-0.30451
52	-0.29734
53	-0.28919
54	-0.28005
55	-0.26995
56	-0.25889
57	-0.2469
58	-0.23399
59	-0.22019
60	-0.20552
61	-0.19001
62	-0.17369
63	-0.15658
64	-0.13873
65	-0.12015
66	-0.1009
67	-8.0999e-002
68	-6.049e-002
69	-3.9409e-002
70	-1.7795e-002
71	4.3135e-003
72	2.6878e-002
73	4.986e-002
74	7.322e-002
75	9.6922e-002
76	0.12093
77	0.1452
78	0.16971
79	0.19441
80	0.21928
81	0.24429
82	0.26941
83	0.29461
84	0.31987
85	0.34517
86	0.3705
87	0.39583
88	0.42117
89	0.
90	0.44651
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	-2.297e-004
99	-1.589e-003
100	-4.154e-003
101	-7.907e-003
102	-1.2792e-002
103	-1.8739e-002
104	-2.5672e-002
105	-3.351e-002
106	-4.2173e-002
107	-5.1579e-002
108	-6.1647e-002
109	-7.2297e-002
110	-8.345e-002
111	-9.5026e-002
112	-0.10695
113	-0.11915
114	-0.13154
115	-0.14405
116	-0.15662
117	-0.16917
118	-0.18164
119	-0.19395
120	-0.20605
121	-0.21786
122	-0.22934
123	-0.24042
124	-0.25104
125	-0.26115
126	-0.27071
127	-0.27965
128	-0.28794
129	-0.29552
130	-0.30237
131	-0.30844
132	-0.31369
133	-0.3181
