Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	4.6483e-002
6	0.20324
7	0.43707
8	0.71551
9	1.007
10	1.2831
11	1.5182
12	1.6916
13	1.7875
14	1.7959
15	1.7128
16	1.5405
17	1.2868
18	0.96488
19	0.59183
20	0.18834
21	-0.22326
22	-0.6201
23	-0.97979
24	-1.2826
25	-1.5113
26	-1.6531
27	-1.6998
28	-1.6487
29	-1.5026
30	-1.2701
31	-0.96449
32	-0.60322
33	-0.20681
34	0.20177
35	0.59903
36	0.96182
37	1.269
38	1.5031
39	1.6506
40	1.703
41	1.6573
42	1.5165
43	1.2887
44	0.98728
45	0.62951
46	0.2363
47	-0.16995
48	-0.56617
49	-0.92957
50	-1.2394
51	-1.478
52	-1.6319
53	-1.6928
54	-1.657
55	-1.5268
56	-1.3097
57	-1.018
58	-0.66863
59	-0.28169
60	0.12083
61	0.5158
62	0.88052
63	1.1939
64	1.4376
65	1.5976
66	1.6644
67	1.6341
68	1.5081
69	1.2935
70	1.0023
71	0.65099
72	0.25959
73	-0.14946
74	-0.55262
75	-0.92673
76	-1.2502
77	-1.5039
78	-1.6728
79	-1.7466
80	-1.7195
81	-1.5913
82	-1.3669
83	-1.0554
84	-0.66992
85	-0.22567
86	0.26066
87	0.77288
88	1.2974
89	0.
90	1.8244
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	4.6525e-002
99	0.20325
100	0.43709
101	0.71551
102	1.0071
103	1.2831
104	1.5182
105	1.6916
106	1.7875
107	1.7959
108	1.7128
109	1.5405
110	1.2868
111	0.96483
112	0.59183
113	0.18831
114	-0.22325
115	-0.62009
116	-0.97982
117	-1.2826
118	-1.5113
119	-1.6531
120	-1.6998
121	-1.6487
122	-1.5026
123	-1.2701
124	-0.9645
125	-0.6032
126	-0.20681
127	0.20174
128	0.59905
129	0.96181
130	1.269
131	1.5031
132	1.6506
133	1.703
134	1.6573
135	1.5165
136	1.2887
137	0.98725
138	0.62956
139	0.2363
140	-0.16996
141	-0.56617
142	-0.92959
143	-1.2394
144	-1.478
145	-1.632
146	-1.6927
147	-1.6571
148	-1.5268
149	-1.3097
150	-1.0179
151	-0.66863
152	-0.28168
153	0.12081
