Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	-4.841e-002
6	-0.19006
7	-0.39479
8	-0.64124
9	-0.91216
10	-1.1935
11	-1.4734
12	-1.7419
13	-1.9906
14	-2.2122
15	-2.4007
16	-2.5514
17	-2.6602
18	-2.7246
19	-2.7426
20	-2.7135
21	-2.6375
22	-2.5156
23	-2.3498
24	-2.1428
25	-1.8983
26	-1.6205
27	-1.3142
28	-0.98474
29	-0.638
30	-0.28004
31	8.2811e-002
32	0.44417
33	0.79765
34	1.137
35	1.4562
36	1.7497
37	2.0122
38	2.2391
39	2.4265
40	2.5708
41	2.6698
42	2.7215
43	2.7251
44	2.6805
45	2.5885
46	2.4508
47	2.2697
48	2.0485
49	1.7911
50	1.502
51	1.1864
52	0.84975
53	0.49809
54	0.1376
55	-0.22532
56	-0.58427
57	-0.9329
58	-1.265
59	-1.5748
60	-1.8567
61	-2.1057
62	-2.3175
63	-2.4883
64	-2.615
65	-2.6955
66	-2.7282
67	-2.7126
68	-2.6489
69	-2.5382
70	-2.3825
71	-2.1845
72	-1.9475
73	-1.6756
74	-1.3736
75	-1.0465
76	-0.70002
77	-0.33983
78	2.8088e-002
79	0.39781
80	0.76355
81	1.1199
82	1.4618
83	1.785
84	2.0863
85	2.3634
86	2.6157
87	2.8443
88	3.0531
89	0.
90	3.2489
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	-4.8409e-002
99	-0.19006
100	-0.39479
101	-0.64124
102	-0.91216
103	-1.1935
104	-1.4734
105	-1.7419
106	-1.9906
107	-2.2122
108	-2.4007
109	-2.5514
110	-2.6602
111	-2.7246
112	-2.7426
113	-2.7135
114	-2.6375
115	-2.5156
116	-2.3498
117	-2.1428
118	-1.8983
119	-1.6205
120	-1.3142
121	-0.98474
122	-0.638
123	-0.28005
124	8.2811e-002
125	0.44417
126	0.79765
127	1.137
128	1.4562
129	1.7497
130	2.0122
131	2.2391
132	2.4265
133	2.5708
134	2.6698
135	2.7215
136	2.7251
137	2.6805
138	2.5885
139	2.4508
140	2.2697
141	2.0485
142	1.7911
143	1.502
144	1.1864
145	0.84975
146	0.49809
147	0.1376
148	-0.22532
149	-0.58428
150	-0.9329
