Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	4.7245e-004
6	1.8793e-003
7	3.9565e-003
8	6.5284e-003
9	9.4612e-003
10	1.2653e-002
11	1.6024e-002
12	1.9509e-002
13	2.3058e-002
14	2.6629e-002
15	3.0185e-002
16	3.3698e-002
17	3.7143e-002
18	4.0496e-002
19	4.374e-002
20	4.6858e-002
21	4.9833e-002
22	5.2654e-002
23	5.5308e-002
24	5.7783e-002
25	6.0071e-002
26	6.2162e-002
27	6.4049e-002
28	6.5724e-002
29	6.7182e-002
30	6.8417e-002
31	6.9424e-002
32	7.0201e-002
33	7.0744e-002
34	7.1052e-002
35	7.1123e-002
36	7.0957e-002
37	7.0554e-002
38	6.9916e-002
39	6.9046e-002
40	6.7944e-002
41	6.6617e-002
42	6.5067e-002
43	6.33e-002
44	6.1322e-002
45	5.914e-002
46	5.676e-002
47	5.4191e-002
48	5.1442e-002
49	4.852e-002
50	4.5437e-002
51	4.2203e-002
52	3.8827e-002
53	3.5322e-002
54	3.17e-002
55	2.7971e-002
56	2.4149e-002
57	2.0247e-002
58	1.6277e-002
59	1.2252e-002
60	8.187e-003
61	4.0943e-003
62	-1.2277e-005
63	-4.1189e-003
64	-8.2121e-003
65	-1.2278e-002
66	-1.6304e-002
67	-2.0275e-002
68	-2.418e-002
69	-2.8005e-002
70	-3.1738e-002
71	-3.5367e-002
72	-3.888e-002
73	-4.2265e-002
74	-4.5514e-002
75	-4.8615e-002
76	-5.156e-002
77	-5.4341e-002
78	-5.6951e-002
79	-5.9384e-002
80	-6.1637e-002
81	-6.3706e-002
82	-6.5592e-002
83	-6.7297e-002
84	-6.8826e-002
85	-7.0189e-002
86	-7.1399e-002
87	-7.2478e-002
88	-7.3453e-002
89	0.
90	-7.4365e-002
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	4.7245e-004
99	1.8793e-003
100	3.9565e-003
101	6.5284e-003
102	9.4612e-003
103	1.2653e-002
104	1.6024e-002
105	1.9509e-002
106	2.3058e-002
107	2.6629e-002
108	3.0185e-002
109	3.3698e-002
110	3.7143e-002
111	4.0496e-002
112	4.374e-002
113	4.6858e-002
114	4.9833e-002
115	5.2654e-002
